organismo,fuente,url_origen,sueldo_bruto,cargo
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,576444.0,Profesional
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,543772.0,Profesional
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,501225.0,Profesional
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,429642.0,Profesional
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,397844.0,Profesional
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,341108.0,Profesional
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,315831.0,Profesional
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,292389.0,Adminstrativo
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,250645.0,Adminstrativo
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,232086.0,Adminstrativo
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,214901.0,Adminstrativo
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,200847.0,Adminstrativo
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,187717.0,Adminstrativo
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,175419.0,Adminstrativo
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,163956.0,Adminstrativo
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,153229.0,Adminstrativo
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,143194.0,Adminstrativo
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,133831.0,Adminstrativo
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,125008.0,Adminstrativo
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,116828.0,Adminstrativo
ministerio_trabajo,transparencia_activa,https://www.mintrab.gob.cl/transparencia/remuneraciones.html,109234.0,Adminstrativo
