url,text,organismo,codigo
https://www.bienesnacionales.cl/wp-content/uploads/2023/01/Caracterizacion-solicitudes-tramitadas-entre-enero-y-diciembre-2022.xlsx,Caracterización de Solicitudes Tramitadas entre Enero y Diciembre 2022,Ministerio de Bienes Nacionales,MBN
https://www.bienesnacionales.cl/wp-content/uploads/2023/01/Casos-en-Proceso-a-Diciembre-2022.xlsx,Casos en Proceso a Diciembre 2022,Ministerio de Bienes Nacionales,MBN
https://www.bienesnacionales.cl/wp-content/uploads/2023/01/Informacion-para-Tramite-Regularizacion-de-Titulo-de-Dominio.pdf,Información para Trámite Regularización de Título de Dominio,Ministerio de Bienes Nacionales,MBN
https://www.bienesnacionales.cl/wp-content/uploads/2023/01/Solicitudes-pendientes-de-cobro-vale-vista-devolucion-de-excedentes-a-diciembre-2022.xlsx,"Solicitudes Pendientes de Cobro Vale Vista, Devolución de Excedentes a Diciembre 2022",Ministerio de Bienes Nacionales,MBN
https://www.bienesnacionales.cl/wp-content/uploads/2023/01/Titulos-disponibles-de-entrega-a-Diciembre-2022.xlsx,Títulos Disponibles de Entrega a Diciembre 2022,Ministerio de Bienes Nacionales,MBN
https://www.bienesnacionales.cl/wp-content/uploads/2025/08/Inmuebles_Fiscales_segun_tipo_de_administracion_-_agosto_2025-39.xlsx,Inmuebles Fiscales Según Modo de Administración Año 2025-Agosto,Ministerio de Bienes Nacionales,MBN
https://www.bienesnacionales.cl/wp-content/uploads/2025/05/PPFFAA_MARZO_2025-7098.xlsx,Inmuebles Fiscales Según Modo de Administración Año 2025-Marzo,Ministerio de Bienes Nacionales,MBN
https://www.bienesnacionales.cl/wp-content/uploads/2024/07/PPFFAA_JULIO_24.xlsx,Inmuebles Fiscales Según Modo de Administración Año 2024-Julio,Ministerio de Bienes Nacionales,MBN
https://www.bienesnacionales.cl/wp-content/uploads/2024/03/Subsecretaria_de_Bienes_Nacionales-MESU_2023.pdf,Encuesta de Satisfacción MBN 2023,Ministerio de Bienes Nacionales,MBN
https://www.bienesnacionales.cl/wp-content/uploads/2023/01/Encuesta-de-Satisfaccion-MBN-2022.pdf,Encuesta de Satisfacción MBN 2022,Ministerio de Bienes Nacionales,MBN
https://www.bienesnacionales.cl/wp-content/uploads/2023/01/GUIA-DE-TRAMITES.pdf,Guía de Tramites,Ministerio de Bienes Nacionales,MBN
https://www.bienesnacionales.cl/wp-content/uploads/2021/06/Equidad-de-Género.pdf,,Ministerio de Bienes Nacionales,MBN
https://www.bienesnacionales.cl/wp-content/uploads/2019/08/Planilla_Informe_Gastos_en_Publicidad_2019_Glosa_02_Ley_21.125___Segundo_Trimestre.xlsx,Gastos en publicidad y difusión,Ministerio de Bienes Nacionales,MBN
https://www.sii.cl/transparencia/planta_historico.html,Dotación Planta,Servicio de Impuestos Internos,SII
https://www.sii.cl/transparencia/contrata_historico.html,Dotación Contrata,Servicio de Impuestos Internos,SII
https://www.sii.cl/transparencia/honorarios_historico.html,Dotación Honorarios,Servicio de Impuestos Internos,SII
https://www.sii.cl/transparencia/info_estadistica_bonificaciones.html,Información estadística sobre bonificaciones,Servicio de Impuestos Internos,SII
https://www.sii.cl/transparencia/plantilla_escala_historica.html,"Remuneraciones según estamentos, grados o jornadas",Servicio de Impuestos Internos,SII
https://www.sii.cl/transparencia/2025/nomina_tt.html,Nómina de funcionarios que pueden realizar labores fuera de las dependencias o teletrabajo,Servicio de Impuestos Internos,SII
https://www.dipres.gob.cl/597/articles-354879_doc_pdf.pdf,Presupuesto vigente,Servicio de Impuestos Internos,SII
https://www.sii.cl/normativa_legislacion/resoluciones/2023/reso126.pdf,Norma general de participación ciudadana,Servicio de Impuestos Internos,SII
https://www.sernac.cl/transparencia/archives/historico_per_planta.html,Dotación de planta,Servicio Nacional del Consumidor,SERNAC
https://www.sernac.cl/transparencia/archives/historico_per_contrata.html,Dotación a contrata,Servicio Nacional del Consumidor,SERNAC
https://www.sernac.cl/transparencia/archives/2017/10/remuneraciones.html,"Remuneraciones según estamentos, grados o jornadas",Servicio Nacional del Consumidor,SERNAC
https://www.sernac.cl/transparencia/archives/historico_per_honorarios.html,Dotación a honorarios,Servicio Nacional del Consumidor,SERNAC
http://www.sernac.cl/transparencia/archives/pdf/BGI_2016.pdf,Balance de Gestión Integral,Servicio Nacional del Consumidor,SERNAC
https://cdn-site.sence.gob.cl/sites/default/files/eeff_sence_2024.pdf,"Estados Financieros SENCE 2024, no auditados",Servicio Nacional de Capacitación,SENCE
https://cdn-site.sence.gob.cl/sites/default/files/eeff_sence_2024.pdf,"Estados Financieros SENCE 2024, no auditados",Servicio Nacional de Capacitación,SENCE
https://www.sernatur.cl/transparencia/transparencia/personal/planta_historico.html,Dotación de planta,Servicio Nacional de Turismo,SERNATUR
https://www.sernatur.cl/transparencia/transparencia/personal/contrata_historico.html,Dotación a contrata,Servicio Nacional de Turismo,SERNATUR
https://www.sernatur.cl/transparencia/transparencia/personal/historico_remuneracion.html,"Remuneraciones según estamentos, grados o jornadas",Servicio Nacional de Turismo,SERNATUR
https://www.sernatur.cl/transparencia/transparencia/personal/honorarios_historico.html,Dotación a honorarios,Servicio Nacional de Turismo,SERNATUR
https://www.sernapesca.cl/transparencia/dotacionplanta.html,Dotación de planta,Servicio Nacional de Pesca,SERNAPESCA
https://www.sernapesca.cl/transparencia/dotacioncontrata.html,Dotación a contrata,Servicio Nacional de Pesca,SERNAPESCA
https://www.sernapesca.cl/transparencia/per_remuneraciones.html,"Remuneraciones según estamentos, grados o jornadas",Servicio Nacional de Pesca,SERNAPESCA
https://www.sernapesca.cl/transparencia/honorarios.html,Dotación a honorarios,Servicio Nacional de Pesca,SERNAPESCA
https://transparencia.losangeles.cl/app.php/ALMACENAMIENTO/MUNICIPALIDAD/2025/26B/N26b-01-2025-PRESUPUESTO-MUNICIPAL-MUNICIPALIDAD.pdf,– MUNICIPALIDAD,Municipalidad de Los Ángeles,LA
https://transparencia.losangeles.cl/app.php/ALMACENAMIENTO/MUNICIPALIDAD/2025/26B/N26b-01-2025-PRESUPUESTO-MUNICIPAL-EDUCACION.pdf,– EDUCACION,Municipalidad de Los Ángeles,LA
https://transparencia.losangeles.cl/app.php/ALMACENAMIENTO/MUNICIPALIDAD/2025/26B/N26b-01-2025-PRESUPUESTO-MUNICIPAL-SALUD.pdf,– SALUD,Municipalidad de Los Ángeles,LA
https://transparencia.losangeles.cl/app.php/ALMACENAMIENTO/MUNICIPALIDAD/2025/26B/N26b-01-2025-PRESUPUESTO-MUNICIPAL-CEMENTERIO.pdf,– CEMENTERIO,Municipalidad de Los Ángeles,LA
https://transparencia.losangeles.cl/app.php/ALMACENAMIENTO/MUNICIPALIDAD/2025/100/N100-01-2025-ESCALA-UNICA-DE-REMUNERACIONES-Municipalidad_2025.pdf,– MUNICIPALIDAD,Municipalidad de Los Ángeles,LA
https://transparencia.losangeles.cl/app.php/ALMACENAMIENTO/MUNICIPALIDAD/2025/100/N100-01-2025-ESCALA-UNICA-DE-REMUNERACIONES-Educaci%C3%B3n_2025.pdf,– EDUCACION,Municipalidad de Los Ángeles,LA
https://transparencia.losangeles.cl/app.php/ALMACENAMIENTO/MUNICIPALIDAD/2025/100/N100-01-2025-ESCALA-UNICA-DE-REMUNERACIONES-Salud_2025.pdf,– SALUD,Municipalidad de Los Ángeles,LA
https://transparencia.losangeles.cl/app.php/ALMACENAMIENTO/DOCUMENTOS/cuentapublica/CUENTA_PUBLICA_2023.pdf,– GESTIÓN 2023,Municipalidad de Los Ángeles,LA
https://transparencia.losangeles.cl/app.php/ALMACENAMIENTO/DOCUMENTOS/cuentapublica/CUENTA_PUBLICA_2022.pdf,– GESTIÓN 2022,Municipalidad de Los Ángeles,LA
https://transparencia.lascondes.cl/transparencia/remuneraciones.html,Personal y Remuneraciones,Municipalidad de Las Condes,LC
http://transparencia.lascondes.cl/transparencia/adquisiciones.html,Contratación de bienes inmuebles y Otras Compras.,Municipalidad de Las Condes,LC
https://www.penalolen.cl/transparencia/personal.html,Personal,Municipalidad de Peñalolén,MP
https://www.penalolen.cl/transparencia/contrataciones.html,Contrataciones,Municipalidad de Peñalolén,MP
https://www.sanmiguel.cl/transparencia/,Dotación Personal,Municipalidad de San Miguel,SM
http://www2.sanmiguel.cl/transparencia/web/index.php?action=plantillas_selec_fecha&ig=222,ESCALA DE REMUNERACIONES 2017,Municipalidad de San Miguel,SM
https://www.sanmiguel.cl/transparencia/index.php?action=plantillas_selec_fecha&ig=14,Funcionarios Planta,Municipalidad de San Miguel,SM
https://www.sanmiguel.cl/transparencia/index.php?action=plantillas_selec_fecha&ig=13,Funcionarios de contrata,Municipalidad de San Miguel,SM
https://www.sanmiguel.cl/transparencia/index.php?action=plantillas_selec_fecha&ig=73,Funcionarios Honorarios,Municipalidad de San Miguel,SM
https://www.sanmiguel.cl/transparencia/index.php?action=plantillas_selec_fecha&ig=58,Personal P.G.E,Municipalidad de San Miguel,SM
https://www.sanmiguel.cl/transparencia/index.php?action=plantillas_selec_fecha&ig=10,Honorarios de Programas,Municipalidad de San Miguel,SM
http://www2.sanmiguel.cl/transparencia/web/index.php?action=plantillas_selec_fecha&ig=155,Personal sujeto a código del trabajo,Municipalidad de San Miguel,SM
http://www2.sanmiguel.cl/transparencia/web/index.php?action=plantillas_selec_fecha&ig=127,Concurso de Personal,Municipalidad de San Miguel,SM
http://www.sanmiguel.cl/web/agosto/ordenanzas/D_E_2201_Aprueba%20Ordenanza%20sobre%20derechos%20municipales%20a%f1o%202012.pdf,Costos de Reproducción,Municipalidad de San Miguel,SM
https://www.cerronavia.cl/wp-content/uploads/2023/04/REGLAMENTO-INTERNO-2022.pdf,Reglamento interno 2022,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2023/04/Modifica-Reglamento-de-Planta-Tomado-de-Razaon-.pdf,27/03/2023,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2024/09/REGLAMENTO-PROTOCOLO-ACOSO-1.pdf,Reglamento Protocolo de Acoso (Ley Karin),Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2025/04/Cuenta-Pública-2024-2036.pdf,Informe Cuenta Pública 2024,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2025/04/presentación-cuenta-pública-Corregida-ALTA_compressed.pdf,Presentación Cuenta Pública 2024,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2024/04/Informe-Cuenta-Pública-2023..pdf,Informe Cuenta Pública 2023,Municipalidad de Cerro Navia,CN
https://www.cerronavia.cl/wp-content/uploads/2024/04/PDF-Cuenta-Pública-2023_.pdf,Presentación Cuenta Pública 2023,Municipalidad de Cerro Navia,CN
