organismo,nombre,cargo,grado,estamento,sueldo_bruto,fuente,archivo_origen
Ministerio del Trabajo,,CON TITULO TECNICO,,Funcionario,175419.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,ADMINISTRATIVOS,,Funcionario,292389.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,ADMINISTRATIVOS,,Funcionario,270750.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,ADMINISTRATIVOS,,Funcionario,250645.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,ADMINISTRATIVOS,,Funcionario,232086.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,ADMINISTRATIVOS,,Funcionario,214901.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,AUXILIARES,,Funcionario,200847.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,AUXILIARES,,Funcionario,187717.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,AUXILIARES,,Funcionario,175419.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,AUXILIARES,,Funcionario,163956.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,Directivo,,Funcionario,697468.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,Directivo,,Funcionario,683261.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,Directivo,,Funcionario,657282.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,Directivo,,Funcionario,655177.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,Directivo,,Funcionario,714185.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,Directivo,,Funcionario,700213.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,Directivo,,Funcionario,611009.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,Directivo,,Funcionario,576444.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,Directivo,,Funcionario,543772.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,Directivo,,Funcionario,501225.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,Profesional,,Funcionario,686474.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,Profesional,,Funcionario,647652.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,Profesional,,Funcionario,611009.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,Profesional,,Funcionario,576444.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,Profesional,,Funcionario,543772.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,Profesional,,Funcionario,501225.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,Profesional,,Funcionario,429642.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,Profesional,,Funcionario,397844.0,ministerio_trabajo,funcionarios_reales.csv
Ministerio del Trabajo,,Profesional,,Funcionario,341108.0,ministerio_trabajo,funcionarios_reales.csv
